Customer_Name,City,CustomerID,AccountNumber,TerritoryID,PersonID
Barbara R He,Berlin,12470,AW00012470,8,11575
Franklin K He,London,18127,AW00018127,10,7964
Jenny C He,London,24100,AW00024100,10,11468
Lacey  He,London,14429,AW00014429,10,12394
Wesley I He,London,17849,AW00017849,10,18119
Adrienne Y Hernandez,London,22668,AW00022668,10,7101
Gerald L Hernandez,London,24054,AW00024054,10,10762
Jerome  Hernandez,Berlin,16270,AW00016270,8,7695
Kristi L Hernandez,London,22635,AW00022635,10,9577
Rebekah L Hernandez,Berlin,24711,AW00024711,8,9889
Tyrone C Hernandez,London,12271,AW00012271,10,6783
Brittney  Holt,London,19523,AW00019523,10,17538
Darryl  Hu,London,24868,AW00024868,10,5657
Jessie F Hu,Berlin,19331,AW00019331,8,5545
Kelli M Hu,Berlin,16316,AW00016316,8,12087
Louis  Hu,London,16187,AW00016187,10,13060
Shannon  Hu,Berlin,19438,AW00019438,8,2546
Steve A Hu,London,16294,AW00016294,10,6541
Colin  Huang,London,20712,AW00020712,10,13431
Gilbert N Huang,Berlin,15927,AW00015927,8,8741
Jeffery  Huang,London,25755,AW00025755,10,18045
Martha E Huang,London,26408,AW00026408,10,4898
Stacey  Huang,Berlin,25443,AW00025443,8,17593
Suzanne A Huang,Berlin,25533,AW00025533,8,5006
April  Jai,London,15660,AW00015660,10,20544
Arturo T Jai,Berlin,24180,AW00024180,8,10486
Damien  Jai,London,14806,AW00014806,10,13246
Darrell T Jai,London,20951,AW00020951,10,9571
Kate  Jai,London,14706,AW00014706,10,4601
Kelsey J Jai,London,27837,AW00027837,10,16515
Kelvin  Jai,London,25796,AW00025796,10,2819
Diana M Jimenez,London,17776,AW00017776,10,18647
Joe  Jimenez,London,19071,AW00019071,10,11043
Leslie  Jimenez,Berlin,21666,AW00021666,8,18516
Nelson  Jimenez,London,14697,AW00014697,10,19170
Robyn M Jimenez,London,12861,AW00012861,10,12955
Roy  Jimenez,London,12334,AW00012334,10,11154
Javier M Jiménez,London,22687,AW00022687,10,13624
Terrance B Jordan,London,16546,AW00016546,10,8048
Adriana  Kapoor,Berlin,22705,AW00022705,8,3135
Johnathan  Kapoor,London,20576,AW00020576,10,15882
Michele J Kapoor,Berlin,21016,AW00021016,8,10136
Kelsey M Kennedy,London,23984,AW00023984,10,16508
Carmen  Kim,London,25502,AW00025502,10,8318
Shane L Kovar,London,12294,AW00012294,10,19365
Arturo W Kumar,London,24044,AW00024044,10,10393
Grant A Kumar,London,25510,AW00025510,10,9274
Julie  Kumar,Berlin,23902,AW00023902,8,19949
Cassie  Lal,London,12626,AW00012626,10,8890
Don A Lal,Berlin,29385,AW00029385,8,20242
Johnny G Lal,London,12381,AW00012381,10,17050
Ricardo C Lal,London,17958,AW00017958,10,17005
Tamara  Lal,London,13576,AW00013576,10,11896
Tony  Lal,London,28515,AW00028515,10,17178
Jorge V Li,London,20133,AW00020133,10,18287
Alisha L Liang,Berlin,18169,AW00018169,8,11973
Cedric R Liang,London,19941,AW00019941,10,3536
Crystal J Liang,London,11549,AW00011549,10,20772
Jessie  Liang,London,19513,AW00019513,10,5537
Mandy  Liang,London,28371,AW00028371,10,5772
Candice K Lin,London,19506,AW00019506,10,17800
Curtis N Lin,London,21858,AW00021858,10,18252
Erica E Lin,London,16033,AW00016033,10,2479
Lacey  Lin,London,13815,AW00013815,10,12368
Randy  Lin,London,14540,AW00014540,10,18153
Rosa  Lin,London,12856,AW00012856,10,4957
Vincent A Lin,London,28516,AW00028516,10,17947
Damien M Liu,London,17214,AW00017214,10,6234
Eugene  Liu,London,14712,AW00014712,10,5451
Jeffery M Liu,Berlin,17788,AW00017788,8,18042
Jon  Liu,Berlin,27139,AW00027139,8,13528
Jorge J Liu,London,20592,AW00020592,10,18289
Stacey A Liu,London,13557,AW00013557,10,17591
Cindy L Lopez,London,27137,AW00027137,10,7332
Emmanuel R Lopez,London,12559,AW00012559,10,7991
Jermaine  Lopez,London,11488,AW00011488,10,8034
Michele C Lopez,London,21509,AW00021509,10,8978
Autumn  Lu,Berlin,15001,AW00015001,8,5929
Bianca  Lu,London,13252,AW00013252,10,4791
Dawn G Lu,London,27833,AW00027833,10,12171
Erica  Lu,London,27009,AW00027009,10,2483
Mandy  Lu,London,14988,AW00014988,10,5758
Rafael J Lu,London,22869,AW00022869,10,12811
Alejandro K Luo,London,12316,AW00012316,10,12532
Calvin T Luo,London,19172,AW00019172,10,9160
Gregory  Luo,London,17642,AW00017642,10,2584
Kara  Luo,London,28903,AW00028903,10,16550
Aimee R Ma,Berlin,21868,AW00021868,8,5818
Heather  Ma,London,17639,AW00017639,10,2644
Randy R Ma,London,24550,AW00024550,10,18173
Adriana  Madan,Berlin,12275,AW00012275,8,3152
Andre C Madan,Berlin,26946,AW00026946,8,16057
Carolyn  Madan,London,26222,AW00026222,10,9944
Dominic F Madan,London,21847,AW00021847,10,8234
Gerald E Madan,London,15653,AW00015653,10,11842
Jillian A Madan,Berlin,13410,AW00013410,8,15306
Joel C Madan,London,17887,AW00017887,10,20077
Meredith D Madan,Berlin,12591,AW00012591,8,10592
Monica G Madan,Berlin,27761,AW00027761,8,19544
Brandy  Malhotra,Berlin,24710,AW00024710,8,18838
Cassandra L Malhotra,Berlin,25756,AW00025756,8,19611
Dominique  Malhotra,London,12460,AW00012460,10,7472
Ebony  Malhotra,London,11589,AW00011589,10,9631
Michele A Malhotra,London,26896,AW00026896,10,10145
Albert  Martin,London,26837,AW00026837,10,14886
Billy B Martin,London,26849,AW00026849,10,15724
Carolyn M Martin,London,12652,AW00012652,10,9979
Darren  Martin,London,22695,AW00022695,10,10201
Gloria A Martin,London,12325,AW00012325,10,16265
Joy L Martin,London,13544,AW00013544,10,13860
Ross  Martin,London,16201,AW00016201,10,11792
Andre  Martinez,London,16588,AW00016588,10,16080
Chelsea S Martinez,Berlin,14927,AW00014927,8,18958
Denise L Martinez,Berlin,12390,AW00012390,8,16260
Erick  Martinez,Berlin,17970,AW00017970,8,2998
George L Martinez,London,20570,AW00020570,10,20217
Mayra D Martinez,Berlin,12228,AW00012228,8,3412
Tabitha  Martinez,London,26865,AW00026865,10,10397
Jenny  McDonald,London,16543,AW00016543,10,11461
Johnathan  McDonald,Berlin,21043,AW00021043,8,15904
Adriana  Mehta,Berlin,12858,AW00012858,8,3179
Douglas  Mehta,London,19258,AW00019258,10,19434
Ivan S Mehta,London,26390,AW00026390,10,8191
Shane S Mehta,Berlin,23953,AW00023953,8,19387
Albert  Moreno,London,12402,AW00012402,10,14900
Briana L Moreno,London,28734,AW00028734,10,13489
Carolyn  Moreno,Berlin,28369,AW00028369,8,9995
Derrick C Moreno,London,18625,AW00018625,10,19103
Ebony J Moreno,Berlin,16409,AW00016409,8,9682
Kari S Moreno,London,15052,AW00015052,10,10539
Lee  Moreno,London,25632,AW00025632,10,14401
Linda A Moreno,Berlin,16549,AW00016549,8,13806
Paula W Moreno,London,13554,AW00013554,10,14992
Daisy  Munoz,London,15081,AW00015081,10,5942
Kathleen E Munoz,London,18013,AW00018013,10,18564
Kristy E Munoz,Berlin,12128,AW00012128,8,14326
Randall J Munoz,Berlin,16824,AW00016824,8,14962
Roberto  Munoz,London,17628,AW00017628,10,14802
Alisha D Nara,London,26959,AW00026959,10,12028
April E Nara,London,25721,AW00025721,10,20554
Chad K Nara,Berlin,28754,AW00028754,8,20351
Clarence G Nara,London,20054,AW00020054,10,7368
Deborah E Nara,Berlin,13502,AW00013502,8,8861
Louis J Nara,London,26901,AW00026901,10,13106
Kirk J Nason,London,12874,AW00012874,10,11624
Brendan C Nath,Berlin,22380,AW00022380,8,9360
Carol E Nath,London,26820,AW00026820,10,8864
Clayton  Nath,London,14793,AW00014793,10,12663
Leonard L Nath,London,12637,AW00012637,10,5230
Tara  Nath,Berlin,16269,AW00016269,8,20015
Andy H Navarro,Berlin,16397,AW00016397,8,2741
Audrey S Navarro,London,26937,AW00026937,10,6022
Beth  Navarro,London,13534,AW00013534,10,6086
Gary E Navarro,London,13561,AW00013561,10,19030
Gina M Navarro,Berlin,18002,AW00018002,8,15055
Hector  Navarro,London,23907,AW00023907,10,14717
Micheal  Navarro,London,23625,AW00023625,10,14577
Walter S Navarro,London,17841,AW00017841,10,13592
Cedric  Pal,London,23235,AW00023235,10,4005
Corey  Pal,London,25774,AW00025774,10,20465
Mario C Pal,Berlin,17824,AW00017824,8,16814
Michele  Pal,London,17814,AW00017814,10,8410
Chelsea P Patel,London,19938,AW00019938,10,18931
Clifford L Patel,Berlin,22473,AW00022473,8,4071
Emmanuel  Patel,London,14427,AW00014427,10,7954
Francisco  Patel,Berlin,15443,AW00015443,8,16686
Roy A Patel,London,14928,AW00014928,10,11092
Tabitha R Patel,Berlin,27931,AW00027931,8,10368
Troy  Patel,London,14968,AW00014968,10,15791
Andre  Perez,London,11491,AW00011491,10,16087
Carla  Perez,Berlin,11567,AW00011567,8,7573
Francisco M Perez,London,17835,AW00017835,10,16723
Holly E Perez,London,12376,AW00012376,10,19602
Manuel C Perez,London,13777,AW00013777,10,15948
Regina S Perez,London,19031,AW00019031,10,7685
Tina J Perez,Berlin,25322,AW00025322,8,16225
Cynthia L Prasad,London,14808,AW00014808,10,19736
Douglas J Prasad,Berlin,12832,AW00012832,8,19424
Heidi M Prasad,Berlin,16197,AW00016197,8,15259
Kristi J Prasad,Berlin,18182,AW00018182,8,10695
Whitney C Prasad,Berlin,20064,AW00020064,8,18897
Bonnie  Rai,Berlin,28409,AW00028409,8,3722
Casey M Rai,London,19308,AW00019308,10,16312
Cassie R Rai,London,14194,AW00014194,10,8912
Colin W Rai,London,24573,AW00024573,10,13506
Connie  Rai,Berlin,16044,AW00016044,8,19891
Darrell C Rai,London,26906,AW00026906,10,8362
Jon  Rai,London,25642,AW00025642,10,12452
Warren F Rai,London,21534,AW00021534,10,4004
Jerry E Raje,London,21848,AW00021848,10,16908
Karl  Raje,London,19362,AW00019362,10,5155
Tonya J Raje,Berlin,14707,AW00014707,8,8471
April L Raji,London,14981,AW00014981,10,20563
Franklin  Raji,London,11400,AW00011400,10,8578
Lindsay E Raji,London,22669,AW00022669,10,19855
Marshall L Raji,London,27175,AW00027175,10,11742
Nina W Raji,London,29480,AW00029480,10,4472
Shawn  Raji,Berlin,12407,AW00012407,8,20402
Bryant S Raman,London,19048,AW00019048,10,3926
Cory  Raman,Berlin,23772,AW00023772,8,19340
Lydia  Raman,London,26868,AW00026868,10,3450
Meredith  Raman,London,11381,AW00011381,10,10600
Stanley L Raman,Berlin,19420,AW00019420,8,4043
Tammy  Raman,London,12126,AW00012126,10,7437
Alberto  Ramos,London,12239,AW00012239,10,6640
Anne R Ramos,London,11351,AW00011351,10,14384
Cheryl A Ramos,London,25682,AW00025682,10,6206
Deanna D Ramos,Berlin,11332,AW00011332,8,9820
Diana J Ramos,London,28733,AW00028733,10,18674
Ebony  Ramos,Berlin,12270,AW00012270,8,9708
Erik M Ramos,London,25312,AW00025312,10,19295
Jamie L Ramos,London,27852,AW00027852,10,14672
Julio  Ramos,London,12551,AW00012551,10,7021
Kari D Ramos,London,24702,AW00024702,10,10567
Lori M Ramos,Berlin,13559,AW00013559,8,14127
Cassandra  Rana,London,13407,AW00013407,10,19628
Cesar L Rana,London,19044,AW00019044,10,3826
Summer M Rana,London,25703,AW00025703,10,3043
Tina F Rana,Berlin,15105,AW00015105,8,16201
Veronica R Rana,Berlin,19453,AW00019453,8,18986
Mayra  Randall,London,27909,AW00027909,10,3398
Harold A Ray,London,13516,AW00013516,10,2876
Ann S Rodriguez,London,12315,AW00012315,10,7275
Cory  Rodriguez,London,25739,AW00025739,10,19356
George A Rodriguez,London,19059,AW00019059,10,20220
Jay M Rodriguez,London,28411,AW00028411,10,10296
Kaitlin  Rodriguez,Berlin,21107,AW00021107,8,3247
Manuel A Rodriguez,London,24697,AW00024697,10,15946
Phillip S Rodriguez,Berlin,20548,AW00020548,8,20179
Beth  Romero,Berlin,20726,AW00020726,8,6083
Craig  Romero,Berlin,20981,AW00020981,8,19065
Gerald K Romero,London,19322,AW00019322,10,10768
Kellie  Romero,Berlin,24544,AW00024544,8,15989
Kendra  Romero,Berlin,26826,AW00026826,8,15149
Linda K Romero,London,20725,AW00020725,10,13812
Lori A Romero,London,28738,AW00028738,10,14109
Nelson  Romero,London,25728,AW00025728,10,19240
Roy C Romero,London,20859,AW00020859,10,11159
Tabitha M Romero,London,22416,AW00022416,10,10438
Kristi R Rowe,London,28692,AW00028692,10,10729
Theodore  Rowe,London,17794,AW00017794,10,6770
Dana  Rubio,Berlin,19311,AW00019311,8,17839
Lance E Rubio,London,19477,AW00019477,10,14880
Melinda A Rubio,Berlin,12738,AW00012738,8,14088
Micheal K Rubio,London,12622,AW00012622,10,14603
Ross  Rubio,London,21540,AW00021540,10,11828
Teresa R Rubio,London,27121,AW00027121,10,15230
Derrick C Ruiz,London,12634,AW00012634,10,19096
Erika J Ruiz,London,19192,AW00019192,10,18689
Gary  Ruiz,Berlin,21097,AW00021097,8,19013
Jerome J Ruiz,Berlin,21549,AW00021549,8,7691
Neil N Ruiz,London,29477,AW00029477,10,6836
Pedro  Ruiz,London,24034,AW00024034,10,11685
Ross K Ruiz,Berlin,12257,AW00012257,8,11795
Roy L Ruiz,London,28704,AW00028704,10,11144
Tyrone B Ruiz,Berlin,25768,AW00025768,8,6780
Allen E Sai,London,27781,AW00027781,10,15846
Jermaine G Sai,London,14934,AW00014934,10,8010
Kristina  Sai,Berlin,26957,AW00026957,8,19694
Stanley  Sai,London,13675,AW00013675,10,4029
Veronica  Sai,London,16509,AW00016509,10,18975
Tamer A Salah,Berlin,12636,AW00012636,8,18890
Mandar  Samant,London,12873,AW00012873,10,1722
Adriana  Sanchez,Berlin,27908,AW00027908,8,3193
Donald  Sanchez,Berlin,22598,AW00022598,8,20060
Douglas M Sanchez,Berlin,25521,AW00025521,8,19444
Gerald  Sanchez,London,24144,AW00024144,10,10749
Pamela  Sanchez,London,20879,AW00020879,10,15569
Jill  Sandoval,London,14143,AW00014143,10,15117
Ebony I Sanz,London,20711,AW00020711,10,9717
Joanna L Sanz,London,25732,AW00025732,10,14002
Mallory  Sanz,London,14938,AW00014938,10,5984
Neil M Sanz,London,22622,AW00022622,10,6878
Henry L Sara,London,20892,AW00020892,10,15971
K.  Saravan,London,14974,AW00014974,10,1733
Cynthia  Saunders,London,24537,AW00024537,10,19738
Billy  Schmidt,London,22434,AW00022434,10,15769
Dana S Schmidt,London,25641,AW00025641,10,17836
Johnathan  Schmidt,Berlin,26366,AW00026366,8,15897
Theresa  Schmidt,London,21854,AW00021854,10,13923
Billy P Serrano,Berlin,24080,AW00024080,8,15763
Frank  Serrano,London,23232,AW00023232,10,18350
Gina  Serrano,Berlin,22700,AW00022700,8,15068
Jessie A Serrano,Berlin,20168,AW00020168,8,5697
Joe M Serrano,London,20167,AW00020167,10,11071
Jonathon F Serrano,London,23954,AW00023954,10,14499
Larry  Serrano,London,21516,AW00021516,10,18452
Lawrence W Serrano,Berlin,23915,AW00023915,8,14461
Ricky  Serrano,London,27938,AW00027938,10,15606
Tanya  Serrano,London,23750,AW00023750,10,14040
Alisha  Shan,Berlin,12276,AW00012276,8,12011
Casey C Shan,London,17782,AW00017782,10,16294
Cristina  Shan,London,14783,AW00014783,10,8735
Edwin  Shan,Berlin,12268,AW00012268,8,13194
Kathryn K Shan,London,28916,AW00028916,10,19917
Kurt A Shan,Berlin,18017,AW00018017,8,4152
Lindsey  Shan,Berlin,17852,AW00017852,8,20663
Tommy H Shan,London,22614,AW00022614,10,4206
Cassie A Sharma,London,26978,AW00026978,10,8893
Clarence A Sharma,Berlin,27930,AW00027930,8,7196
Jaclyn C Sharma,London,28403,AW00028403,10,12977
Katie  Sharma,London,21106,AW00021106,10,20614
Lindsey  Sharma,Berlin,29418,AW00029418,8,20662
Nicolas D Sharma,London,13517,AW00013517,10,5265
Calvin A She,Berlin,18154,AW00018154,8,9148
Cara H She,London,22646,AW00022646,10,4883
Clayton  She,London,13785,AW00013785,10,12624
Johnny  She,Berlin,20056,AW00020056,8,17035
Karla T She,London,12215,AW00012215,10,3475
Kurt  She,London,26206,AW00026206,10,4126
Lacey A She,Berlin,21823,AW00021823,8,12404
Raul  She,London,19497,AW00019497,10,9486
Warren  She,London,21824,AW00021824,10,12282
Wayne  She,London,23607,AW00023607,10,9092
Arturo  Shen,Berlin,16389,AW00016389,8,10269
Jaime  Shen,London,13765,AW00013765,10,9435
Jenny V Shen,Berlin,20132,AW00020132,8,11483
Maurice L Shen,London,26938,AW00026938,10,9047
Tommy C Shen,Berlin,25645,AW00025645,8,4187
Daniel  Shimshoni,London,24705,AW00024705,10,1751
Misty  Shock,London,24869,AW00024869,10,1752
Cesar  Srini,London,11563,AW00011563,10,3819
Clifford  Srini,Berlin,14703,AW00014703,8,4083
Ebony A Srini,London,17959,AW00017959,10,9638
Francisco H Srini,London,12602,AW00012602,10,16697
Heidi  Srini,Berlin,25525,AW00025525,8,15255
Jillian L Srini,Berlin,25650,AW00025650,8,15308
Lydia J Srini,Berlin,28499,AW00028499,8,3439
Molly L Srini,London,27790,AW00027790,10,16140
Whitney  Srini,London,11560,AW00011560,10,18895
Audrey  Suarez,Berlin,26981,AW00026981,8,6048
Ebony  Suarez,London,26361,AW00026361,10,9715
Felicia W Suarez,London,28703,AW00028703,10,14299
Jaime L Suarez,London,15056,AW00015056,10,7085
Kristine  Suarez,London,16282,AW00016282,10,6327
Michele C Suarez,London,12526,AW00012526,10,9036
Reginald  Suarez,London,18177,AW00018177,10,6593
Ross C Suarez,London,27940,AW00027940,10,11826
Victor N Suarez,London,24071,AW00024071,10,19255
Andre  Subram,Berlin,28752,AW00028752,8,16068
Cesar L Subram,London,11475,AW00011475,10,3829
Cindy L Subram,London,23943,AW00023943,10,7323
Dominique S Subram,London,15620,AW00015620,10,7493
Ebony K Subram,London,26216,AW00026216,10,9648
Gerald  Subram,London,21517,AW00021517,10,11859
Manuel  Subram,Berlin,25680,AW00025680,8,15934
Sergio  Subram,London,28386,AW00028386,10,7832
Heather  Sun,London,28729,AW00028729,10,2640
Jeffery J Sun,Berlin,24864,AW00024864,8,18057
Omar D Sun,London,25783,AW00025783,10,12702
Ann  Suri,Berlin,26873,AW00026873,8,7230
Geoffrey  Suri,Berlin,26419,AW00026419,8,8265
Ross J Suri,Berlin,18001,AW00018001,8,11738
Terrance C Suri,London,21046,AW00021046,10,8045
Marshall  Sutton,London,20862,AW00020862,10,11353
Cedric M Tang,Berlin,28381,AW00028381,8,3811
Colleen A Tang,London,25731,AW00025731,10,12307
Donna S Tang,Berlin,20554,AW00020554,8,4637
Johnny  Tang,London,15119,AW00015119,10,17041
Kenneth  Tang,London,28477,AW00028477,10,2610
Tonya  Tang,London,20917,AW00020917,10,8449
Briana  Torres,Berlin,13685,AW00013685,8,13614
Frank M Torres,Berlin,16582,AW00016582,8,18343
Julio  Torres,London,22460,AW00022460,10,7009
Marvin J Torres,London,27885,AW00027885,10,6907
Randall  Torres,London,25646,AW00025646,10,14973
Renee L Torres,London,19510,AW00019510,10,15014
Rodney L Torres,London,22520,AW00022520,10,13690
Tanya L Torres,London,23986,AW00023986,10,14032
Teresa M Torres,London,16188,AW00016188,10,15208
Adriana  Vance,Berlin,26983,AW00026983,8,3140
