Customer_Name,CustomerID,AccountNumber,TerritoryID,StoreID,PersonID
Deanna K Alvarez,24720,AW00024720,10,NULL,9783
Desiree  Alvarez,13005,AW00013005,9,NULL,13842
Diana  Alvarez,13638,AW00013638,9,NULL,18645
Diane  Alvarez,26851,AW00026851,8,NULL,15448
Dwayne G Alvarez,22800,AW00022800,7,NULL,20401
Ebony M Alvarez,28428,AW00028428,10,NULL,9678
Eddie A Alvarez,13831,AW00013831,7,NULL,6662
Erik M Alvarez,14311,AW00014311,9,NULL,19270
Erika  Alvarez,15615,AW00015615,10,NULL,18695
Francis  Alvarez,21552,AW00021552,9,NULL,2404
Frank G Alvarez,26704,AW00026704,4,NULL,19317
Gary  Alvarez,24700,AW00024700,7,NULL,19021
Gina  Alvarez,25751,AW00025751,8,NULL,15048
Gloria B Alvarez,18297,AW00018297,9,NULL,16354
Jaime C Alvarez,28058,AW00028058,4,NULL,7047
Janet G Alvarez,11006,AW00011006,9,NULL,6229
Javier L Alvarez,11140,AW00011140,4,NULL,13623
Jay D Alvarez,29171,AW00029171,1,NULL,10318
Jessie  Alvarez,14324,AW00014324,9,NULL,5415
Jésus H Alvarez,25569,AW00025569,7,NULL,18375
Joe E Alvarez,20041,AW00020041,7,NULL,12387
Jonathon D Alvarez,12752,AW00012752,7,NULL,14476
Joy G Alvarez,26469,AW00026469,4,NULL,13963
Julio  Alvarez,26205,AW00026205,10,NULL,6994
Kari C Alvarez,11108,AW00011108,9,NULL,10536
Kathleen R Alvarez,17793,AW00017793,10,NULL,18557
Kendra R Alvarez,15267,AW00015267,9,NULL,15137
Krista  Alvarez,19467,AW00019467,10,NULL,14214
Kristi  Alvarez,12303,AW00012303,10,NULL,9580
Kristine F Alvarez,27937,AW00027937,8,NULL,6292
Kristy  Alvarez,15588,AW00015588,9,NULL,14320
Lance J Alvarez,16190,AW00016190,10,NULL,14847
Larry T Alvarez,14235,AW00014235,9,NULL,18419
Latasha  Alvarez,18047,AW00018047,8,NULL,6128
Lawrence  Alvarez,20719,AW00020719,8,NULL,14435
Lee A Alvarez,19890,AW00019890,4,NULL,14396
Leslie  Alvarez,17090,AW00017090,8,NULL,18514
Linda  Alvarez,14047,AW00014047,9,NULL,13801
Lori C Alvarez,26662,AW00026662,9,NULL,14097
Mallory L Alvarez,21124,AW00021124,10,NULL,7149
Marc B Alvarez,18221,AW00018221,9,NULL,15685
Marie  Alvarez,20947,AW00020947,10,NULL,10097
Marvin  Alvarez,23651,AW00023651,9,NULL,6889
Mathew L Alvarez,17494,AW00017494,9,NULL,14515
Max M Alvarez,11986,AW00011986,9,NULL,2679
Melinda  Alvarez,27655,AW00027655,4,NULL,14052
Melody  Alvarez,25070,AW00025070,6,NULL,16813
Meredith  Alvarez,12480,AW00012480,7,NULL,10631
Micheal W Alvarez,13495,AW00013495,10,NULL,14559
Michele J Alvarez,11844,AW00011844,4,NULL,9004
Naomi  Alvarez,28820,AW00028820,1,NULL,17284
Natasha M Alvarez,17874,AW00017874,7,NULL,18742
Neil C Alvarez,22467,AW00022467,10,NULL,6842
Pedro E Alvarez,28120,AW00028120,9,NULL,11691
Philip A Alvarez,11123,AW00011123,9,NULL,19185
Randall  Alvarez,26750,AW00026750,9,NULL,14953
Raquel G Alvarez,17808,AW00017808,10,NULL,6351
Reginald A Alvarez,18746,AW00018746,9,NULL,7745
Renée R Alvarez,28920,AW00028920,8,NULL,15000
Ricky  Alvarez,24057,AW00024057,7,NULL,15580
Roberto  Alvarez,28387,AW00028387,10,NULL,14791
Robin V Alvarez,11243,AW00011243,10,NULL,13712
Robyn M Alvarez,12255,AW00012255,7,NULL,12931
Rodney D Alvarez,29286,AW00029286,9,NULL,13666
Ross  Alvarez,22009,AW00022009,4,NULL,11802
Roy A Alvarez,16709,AW00016709,9,NULL,11150
Ruben  Alvarez,12543,AW00012543,7,NULL,11252
Sabrina  Alvarez,27943,AW00027943,8,NULL,14162
Shannon  Alvarez,11551,AW00011551,7,NULL,19979
Sheila  Alvarez,27478,AW00027478,4,NULL,14456
Stacy  Alvarez,11901,AW00011901,9,NULL,18606
Tabitha  Alvarez,15028,AW00015028,9,NULL,10426
Tanya  Alvarez,17279,AW00017279,9,NULL,14011
Teresa  Alvarez,22542,AW00022542,7,NULL,15189
Theodore  Alvarez,25690,AW00025690,10,NULL,6724
Theresa H Alvarez,12280,AW00012280,7,NULL,13890
Tyrone K Alvarez,27693,AW00027693,9,NULL,6786
